indicator_code,indicator_name,long_definition
ADMRDBLE_T_TOTAL_15_UP_CI,Diabetes lower extremity amputation using unlinked data,"Total, 15 years old and over, Upper confidence interval"
MORTSUMD_T_TOTAL_15_AS_STD_RATE_CPAT,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Total, 15 years old and over, Age-sex standardised rate per 100 patients"
MORTSUMD_T_TOTAL_15_LOW_CI,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Total, 15 years old and over, Lower confidence interval"
MORTSUMD_T_TOTAL_15_UP_CI,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Total, 15 years old and over, Upper confidence interval"
EXCESCHI_T_TOTAL_1574_AS_STD_RATIO,Excess mortality for patients diagnosed with schizophrenia,"Total, 15-74 years old, Age-sex standardised ratio"
EXCEBIPO_T_TOTAL_1574_AS_STD_RATIO,Excess mortality for patients diagnosed with bipolar disorder,"Total, 15-74 years old, Age-sex standardised ratio"
IHWTHIPS_M_TOTAL_65_CRUDE_RATE_CPAT,Hip-fracture surgery initiated within 2 days after admission to the hospital,"Male, 65 years old and over, Crude rate per 100 patients"
IHWTHIPS_F_TOTAL_65_CRUDE_RATE_CPAT,Hip-fracture surgery initiated within 2 days after admission to the hospital,"Female, 65 years old and over, Crude rate per 100 patients"
IHWTHIPS_T_TOTAL_65_CRUDE_RATE_CPAT,Hip-fracture surgery initiated within 2 days after admission to the hospital,"Total, 65 years old and over, Crude rate per 100 patients"
MORTAMII_M_TOTAL_45_LOW_CI,AMI 30 day mortality using unlinked data,"Male, 45 years old and over, Lower confidence interval"
MORTAMII_M_TOTAL_45_UP_CI,AMI 30 day mortality using unlinked data,"Male, 45 years old and over, Upper confidence interval"
MORTHSTI_M_TOTAL_45_LOW_CI,Hemorrhagic stroke 30 day mortality using unlinked data,"Male, 45 years old and over, Lower confidence interval"
MORTHSTI_M_TOTAL_45_UP_CI,Hemorrhagic stroke 30 day mortality using unlinked data,"Male, 45 years old and over, Upper confidence interval"
MORTISTI_M_TOTAL_45_LOW_CI,Ischemic stroke 30 day mortality using unlinked data,"Male, 45 years old and over, Lower confidence interval"
MORTISTI_M_TOTAL_45_UP_CI,Ischemic stroke 30 day mortality using unlinked data,"Male, 45 years old and over, Upper confidence interval"
MORTAMII_F_TOTAL_45_LOW_CI,AMI 30 day mortality using unlinked data,"Female, 45 years old and over, Lower confidence interval"
MORTAMII_F_TOTAL_45_UP_CI,AMI 30 day mortality using unlinked data,"Female, 45 years old and over, Upper confidence interval"
MORTHSTI_F_TOTAL_45_LOW_CI,Hemorrhagic stroke 30 day mortality using unlinked data,"Female, 45 years old and over, Lower confidence interval"
MORTHSTI_F_TOTAL_45_UP_CI,Hemorrhagic stroke 30 day mortality using unlinked data,"Female, 45 years old and over, Upper confidence interval"
MORTISTI_F_TOTAL_45_LOW_CI,Ischemic stroke 30 day mortality using unlinked data,"Female, 45 years old and over, Lower confidence interval"
MORTISTI_F_TOTAL_45_UP_CI,Ischemic stroke 30 day mortality using unlinked data,"Female, 45 years old and over, Upper confidence interval"
MORTAMII_T_TOTAL_45_LOW_CI,AMI 30 day mortality using unlinked data,"Total, 45 years old and over, Lower confidence interval"
MORTAMII_T_TOTAL_45_UP_CI,AMI 30 day mortality using unlinked data,"Total, 45 years old and over, Upper confidence interval"
MORTHSTI_T_TOTAL_45_LOW_CI,Hemorrhagic stroke 30 day mortality using unlinked data,"Total, 45 years old and over, Lower confidence interval"
MORTHSTI_T_TOTAL_45_UP_CI,Hemorrhagic stroke 30 day mortality using unlinked data,"Total, 45 years old and over, Upper confidence interval"
MORTISTI_T_TOTAL_45_LOW_CI,Ischemic stroke 30 day mortality using unlinked data,"Total, 45 years old and over, Lower confidence interval"
MORTISTI_T_TOTAL_45_UP_CI,Ischemic stroke 30 day mortality using unlinked data,"Total, 45 years old and over, Upper confidence interval"
MORTAMIO_M_TOTAL_45_AS_STD_RATE_CPAT,AMI 30 day mortality using linked data,"Male, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTAMIO_M_TOTAL_45_LOW_CI,AMI 30 day mortality using linked data,"Male, 45 years old and over, Lower confidence interval"
MORTAMIO_M_TOTAL_45_UP_CI,AMI 30 day mortality using linked data,"Male, 45 years old and over, Upper confidence interval"
MORTHSTO_M_TOTAL_45_AS_STD_RATE_CPAT,Hemorrhagic stroke 30 day mortality using linked data,"Male, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTHSTO_M_TOTAL_45_LOW_CI,Hemorrhagic stroke 30 day mortality using linked data,"Male, 45 years old and over, Lower confidence interval"
MORTHSTO_M_TOTAL_45_UP_CI,Hemorrhagic stroke 30 day mortality using linked data,"Male, 45 years old and over, Upper confidence interval"
MORTISTO_M_TOTAL_45_AS_STD_RATE_CPAT,Ischemic stroke 30 day mortality using linked data,"Male, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTISTO_M_TOTAL_45_LOW_CI,Ischemic stroke 30 day mortality using linked data,"Male, 45 years old and over, Lower confidence interval"
MORTISTO_M_TOTAL_45_UP_CI,Ischemic stroke 30 day mortality using linked data,"Male, 45 years old and over, Upper confidence interval"
MORTAMIO_F_TOTAL_45_AS_STD_RATE_CPAT,AMI 30 day mortality using linked data,"Female, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTAMIO_F_TOTAL_45_LOW_CI,AMI 30 day mortality using linked data,"Female, 45 years old and over, Lower confidence interval"
MORTAMIO_F_TOTAL_45_UP_CI,AMI 30 day mortality using linked data,"Female, 45 years old and over, Upper confidence interval"
MORTHSTO_F_TOTAL_45_AS_STD_RATE_CPAT,Hemorrhagic stroke 30 day mortality using linked data,"Female, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTHSTO_F_TOTAL_45_LOW_CI,Hemorrhagic stroke 30 day mortality using linked data,"Female, 45 years old and over, Lower confidence interval"
MORTHSTO_F_TOTAL_45_UP_CI,Hemorrhagic stroke 30 day mortality using linked data,"Female, 45 years old and over, Upper confidence interval"
MORTISTO_F_TOTAL_45_AS_STD_RATE_CPAT,Ischemic stroke 30 day mortality using linked data,"Female, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTISTO_F_TOTAL_45_LOW_CI,Ischemic stroke 30 day mortality using linked data,"Female, 45 years old and over, Lower confidence interval"
MORTISTO_F_TOTAL_45_UP_CI,Ischemic stroke 30 day mortality using linked data,"Female, 45 years old and over, Upper confidence interval"
MORTAMIO_T_TOTAL_45_AS_STD_RATE_CPAT,AMI 30 day mortality using linked data,"Total, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTAMIO_T_TOTAL_45_LOW_CI,AMI 30 day mortality using linked data,"Total, 45 years old and over, Lower confidence interval"
MORTAMIO_T_TOTAL_45_UP_CI,AMI 30 day mortality using linked data,"Total, 45 years old and over, Upper confidence interval"
MORTHSTO_T_TOTAL_45_AS_STD_RATE_CPAT,Hemorrhagic stroke 30 day mortality using linked data,"Total, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTHSTO_T_TOTAL_45_LOW_CI,Hemorrhagic stroke 30 day mortality using linked data,"Total, 45 years old and over, Lower confidence interval"
MORTHSTO_T_TOTAL_45_UP_CI,Hemorrhagic stroke 30 day mortality using linked data,"Total, 45 years old and over, Upper confidence interval"
MORTISTO_T_TOTAL_45_AS_STD_RATE_CPAT,Ischemic stroke 30 day mortality using linked data,"Total, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTISTO_T_TOTAL_45_LOW_CI,Ischemic stroke 30 day mortality using linked data,"Total, 45 years old and over, Lower confidence interval"
MORTISTO_T_TOTAL_45_UP_CI,Ischemic stroke 30 day mortality using linked data,"Total, 45 years old and over, Upper confidence interval"
COSKCOST_M_TOTAL_16_LOW_CI,Consultation skipped due to costs,"Male, 16 years and over, Lower confidence interval"
COSKCOST_M_TOTAL_16_UP_CI,Consultation skipped due to costs,"Male, 16 years and over, Upper confidence interval"
MTSKCOST_M_TOTAL_16_LOW_CI,"Medical tests, treatment or follow-up skipped due to costs","Male, 16 years and over, Lower confidence interval"
MTSKCOST_M_TOTAL_16_UP_CI,"Medical tests, treatment or follow-up skipped due to costs","Male, 16 years and over, Upper confidence interval"
PMSKCOST_M_TOTAL_16_LOW_CI,Prescribed medicines skipped due to costs,"Male, 16 years and over, Lower confidence interval"
PMSKCOST_M_TOTAL_16_UP_CI,Prescribed medicines skipped due to costs,"Male, 16 years and over, Upper confidence interval"
HPRTIPAT_M_TOTAL_16_LOW_CI,Doctor spending enough time with patients during the consultation,"Male, 16 years and over, Lower confidence interval"
HPRTIPAT_M_TOTAL_16_UP_CI,Doctor spending enough time with patients during the consultation,"Male, 16 years and over, Upper confidence interval"
COSKCOST_F_TOTAL_16_LOW_CI,Consultation skipped due to costs,"Female, 16 years and over, Lower confidence interval"
COSKCOST_F_TOTAL_16_UP_CI,Consultation skipped due to costs,"Female, 16 years and over, Upper confidence interval"
MTSKCOST_F_TOTAL_16_LOW_CI,"Medical tests, treatment or follow-up skipped due to costs","Female, 16 years and over, Lower confidence interval"
MTSKCOST_F_TOTAL_16_UP_CI,"Medical tests, treatment or follow-up skipped due to costs","Female, 16 years and over, Upper confidence interval"
PMSKCOST_F_TOTAL_16_LOW_CI,Prescribed medicines skipped due to costs,"Female, 16 years and over, Lower confidence interval"
PMSKCOST_F_TOTAL_16_UP_CI,Prescribed medicines skipped due to costs,"Female, 16 years and over, Upper confidence interval"
HPRTIPAT_F_TOTAL_16_LOW_CI,Doctor spending enough time with patients during the consultation,"Female, 16 years and over, Lower confidence interval"
HPRTIPAT_F_TOTAL_16_UP_CI,Doctor spending enough time with patients during the consultation,"Female, 16 years and over, Upper confidence interval"
COSKCOST_T_TOTAL_16_LOW_CI,Consultation skipped due to costs,"Total, 16 years and over, Lower confidence interval"
COSKCOST_T_TOTAL_16_UP_CI,Consultation skipped due to costs,"Total, 16 years and over, Upper confidence interval"
MTSKCOST_T_TOTAL_16_LOW_CI,"Medical tests, treatment or follow-up skipped due to costs","Total, 16 years and over, Lower confidence interval"
MTSKCOST_T_TOTAL_16_UP_CI,"Medical tests, treatment or follow-up skipped due to costs","Total, 16 years and over, Upper confidence interval"
PMSKCOST_T_TOTAL_16_LOW_CI,Prescribed medicines skipped due to costs,"Total, 16 years and over, Lower confidence interval"
PMSKCOST_T_TOTAL_16_UP_CI,Prescribed medicines skipped due to costs,"Total, 16 years and over, Upper confidence interval"
HPRTIPAT_T_TOTAL_16_LOW_CI,Doctor spending enough time with patients during the consultation,"Total, 16 years and over, Lower confidence interval"
HPRTIPAT_T_TOTAL_16_UP_CI,Doctor spending enough time with patients during the consultation,"Total, 16 years and over, Upper confidence interval"
HPREXCLA_T_TOTAL_16_LOW_CI,Doctor providing easy-to-understand explanations,"Total, 16 years and over, Lower confidence interval"
HPREXCLA_T_TOTAL_16_UP_CI,Doctor providing easy-to-understand explanations,"Total, 16 years and over, Upper confidence interval"
HPREXCLA_M_TOTAL_16_LOW_CI,Doctor providing easy-to-understand explanations,"Male, 16 years and over, Lower confidence interval"
HPREXCLA_M_TOTAL_16_UP_CI,Doctor providing easy-to-understand explanations,"Male, 16 years and over, Upper confidence interval"
HPRIPDEC_M_TOTAL_16_LOW_CI,Doctor involving patients in decisions about care or treatment,"Male, 16 years and over, Lower confidence interval"
HPRIPDEC_M_TOTAL_16_UP_CI,Doctor involving patients in decisions about care or treatment,"Male, 16 years and over, Upper confidence interval"
HPREXCLA_F_TOTAL_16_LOW_CI,Doctor providing easy-to-understand explanations,"Female, 16 years and over, Lower confidence interval"
HPREXCLA_F_TOTAL_16_UP_CI,Doctor providing easy-to-understand explanations,"Female, 16 years and over, Upper confidence interval"
HPRIPDEC_F_TOTAL_16_LOW_CI,Doctor involving patients in decisions about care or treatment,"Female, 16 years and over, Lower confidence interval"
HPRIPDEC_F_TOTAL_16_UP_CI,Doctor involving patients in decisions about care or treatment,"Female, 16 years and over, Upper confidence interval"
HPRIPDEC_T_TOTAL_16_LOW_CI,Doctor involving patients in decisions about care or treatment,"Total, 16 years and over, Lower confidence interval"
HPRIPDEC_T_TOTAL_16_UP_CI,Doctor involving patients in decisions about care or treatment,"Total, 16 years and over, Upper confidence interval"
ADMRHYPT_M_TOTAL_15_AS_STD_RATE_MPOP,Hypertension hospital admission,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRHYPT_M_TOTAL_15_LOW_CI,Hypertension hospital admission,"Male, 15 years old and over, Lower confidence interval"
ADMRHYPT_M_TOTAL_15_UP_CI,Hypertension hospital admission,"Male, 15 years old and over, Upper confidence interval"
ASCOCOMP_M_TOTAL_15_AS_STD_RATE_MPOP,Asthma and chronic obstructive pulmonary disease hospital admission,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
ASCOCOMP_M_TOTAL_15_LOW_CI,Asthma and chronic obstructive pulmonary disease hospital admission,"Male, 15 years old and over, Lower confidence interval"
ASCOCOMP_M_TOTAL_15_UP_CI,Asthma and chronic obstructive pulmonary disease hospital admission,"Male, 15 years old and over, Upper confidence interval"
CHHYCOMP_M_TOTAL_15_AS_STD_RATE_MPOP,Congestive heart failure and hypertension hospital admission,"Male, 15 years old and over, Age-sex standardised rate per 100 000 population"
CHHYCOMP_M_TOTAL_15_LOW_CI,Congestive heart failure and hypertension hospital admission,"Male, 15 years old and over, Lower confidence interval"
CHHYCOMP_M_TOTAL_15_UP_CI,Congestive heart failure and hypertension hospital admission,"Male, 15 years old and over, Upper confidence interval"
ADMRHYPT_F_TOTAL_15_AS_STD_RATE_MPOP,Hypertension hospital admission,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRHYPT_F_TOTAL_15_LOW_CI,Hypertension hospital admission,"Female, 15 years old and over, Lower confidence interval"
ADMRHYPT_F_TOTAL_15_UP_CI,Hypertension hospital admission,"Female, 15 years old and over, Upper confidence interval"
ASCOCOMP_F_TOTAL_15_AS_STD_RATE_MPOP,Asthma and chronic obstructive pulmonary disease hospital admission,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
ASCOCOMP_F_TOTAL_15_LOW_CI,Asthma and chronic obstructive pulmonary disease hospital admission,"Female, 15 years old and over, Lower confidence interval"
ASCOCOMP_F_TOTAL_15_UP_CI,Asthma and chronic obstructive pulmonary disease hospital admission,"Female, 15 years old and over, Upper confidence interval"
CHHYCOMP_F_TOTAL_15_AS_STD_RATE_MPOP,Congestive heart failure and hypertension hospital admission,"Female, 15 years old and over, Age-sex standardised rate per 100 000 population"
CHHYCOMP_F_TOTAL_15_LOW_CI,Congestive heart failure and hypertension hospital admission,"Female, 15 years old and over, Lower confidence interval"
CHHYCOMP_F_TOTAL_15_UP_CI,Congestive heart failure and hypertension hospital admission,"Female, 15 years old and over, Upper confidence interval"
ADMRHYPT_T_TOTAL_15_AS_STD_RATE_MPOP,Hypertension hospital admission,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
ADMRHYPT_T_TOTAL_15_LOW_CI,Hypertension hospital admission,"Total, 15 years old and over, Lower confidence interval"
ADMRHYPT_T_TOTAL_15_UP_CI,Hypertension hospital admission,"Total, 15 years old and over, Upper confidence interval"
ASCOCOMP_T_TOTAL_15_AS_STD_RATE_MPOP,Asthma and chronic obstructive pulmonary disease hospital admission,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
ASCOCOMP_T_TOTAL_15_LOW_CI,Asthma and chronic obstructive pulmonary disease hospital admission,"Total, 15 years old and over, Lower confidence interval"
ASCOCOMP_T_TOTAL_15_UP_CI,Asthma and chronic obstructive pulmonary disease hospital admission,"Total, 15 years old and over, Upper confidence interval"
CHHYCOMP_T_TOTAL_15_AS_STD_RATE_MPOP,Congestive heart failure and hypertension hospital admission,"Total, 15 years old and over, Age-sex standardised rate per 100 000 population"
CHHYCOMP_T_TOTAL_15_LOW_CI,Congestive heart failure and hypertension hospital admission,"Total, 15 years old and over, Lower confidence interval"
CHHYCOMP_T_TOTAL_15_UP_CI,Congestive heart failure and hypertension hospital admission,"Total, 15 years old and over, Upper confidence interval"
MORTAMII_F_TOTAL_45_AS_STD_RATE_CPAT,AMI 30 day mortality using unlinked data,"Female, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTHSTI_M_TOTAL_45_AS_STD_RATE_CPAT,Hemorrhagic stroke 30 day mortality using unlinked data,"Male, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTHSTI_F_TOTAL_45_AS_STD_RATE_CPAT,Hemorrhagic stroke 30 day mortality using unlinked data,"Female, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTISTI_F_TOTAL_45_AS_STD_RATE_CPAT,Ischemic stroke 30 day mortality using unlinked data,"Female, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTISTI_M_TOTAL_45_AS_STD_RATE_CPAT,Ischemic stroke 30 day mortality using unlinked data,"Male, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTAMII_T_TOTAL_45_AS_STD_RATE_CPAT,AMI 30 day mortality using unlinked data,"Total, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTAMII_M_TOTAL_45_AS_STD_RATE_CPAT,AMI 30 day mortality using unlinked data,"Male, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTISTI_T_TOTAL_45_AS_STD_RATE_CPAT,Ischemic stroke 30 day mortality using unlinked data,"Total, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTHSTI_T_TOTAL_45_AS_STD_RATE_CPAT,Hemorrhagic stroke 30 day mortality using unlinked data,"Total, 45 years old and over, Age-sex standardised rate per 100 patients"
MORTSUMD_M_TOTAL_15_AS_STD_RATE_CPAT,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Male, 15 years old and over, Age-sex standardised rate per 100 patients"
MORTSUMD_M_TOTAL_15_LOW_CI,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Male, 15 years old and over, Lower confidence interval"
MORTSUMD_M_TOTAL_15_UP_CI,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Male, 15 years old and over, Upper confidence interval"
MORTSUMS_M_TOTAL_15_AS_STD_RATE_CPAT,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Male, 15 years old and over, Age-sex standardised rate per 100 patients"
MORTSUMS_M_TOTAL_15_LOW_CI,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Male, 15 years old and over, Lower confidence interval"
MORTSUMS_M_TOTAL_15_UP_CI,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Male, 15 years old and over, Upper confidence interval"
MORTSUMD_F_TOTAL_15_AS_STD_RATE_CPAT,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Female, 15 years old and over, Age-sex standardised rate per 100 patients"
MORTSUMD_F_TOTAL_15_LOW_CI,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Female, 15 years old and over, Lower confidence interval"
MORTSUMD_F_TOTAL_15_UP_CI,Suicide within 1 year after discharge among patients diagnosed with a mental disorder,"Female, 15 years old and over, Upper confidence interval"
MORTSUMS_F_TOTAL_15_AS_STD_RATE_CPAT,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Female, 15 years old and over, Age-sex standardised rate per 100 patients"
MORTSUMS_F_TOTAL_15_LOW_CI,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Female, 15 years old and over, Lower confidence interval"
MORTSUMS_F_TOTAL_15_UP_CI,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Female, 15 years old and over, Upper confidence interval"
MORTSUMS_T_TOTAL_15_AS_STD_RATE_CPAT,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Total, 15 years old and over, Age-sex standardised rate per 100 patients"
MORTSUMS_T_TOTAL_15_LOW_CI,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Total, 15 years old and over, Lower confidence interval"
MORTSUMS_T_TOTAL_15_UP_CI,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,"Total, 15 years old and over, Upper confidence interval"
EXCESCHI_M_TOTAL_1574_AS_STD_RATIO,Excess mortality for patients diagnosed with schizophrenia,"Male, 15-74 years old, Age-sex standardised ratio"
EXCEBIPO_M_TOTAL_1574_AS_STD_RATIO,Excess mortality for patients diagnosed with bipolar disorder,"Male, 15-74 years old, Age-sex standardised ratio"
EXCESCHI_F_TOTAL_1574_AS_STD_RATIO,Excess mortality for patients diagnosed with schizophrenia,"Female, 15-74 years old, Age-sex standardised ratio"
EXCEBIPO_F_TOTAL_1574_AS_STD_RATIO,Excess mortality for patients diagnosed with bipolar disorder,"Female, 15-74 years old, Age-sex standardised ratio"
FORBPROC_T_TOTAL_15_CRUDE_DIS_SURG,Retained surgical item or unretrieved device fragment,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using unlinked data)"
POSTPESP_T_TOTAL_15_CRUDE_DIS_SURG,Post-operative pulmonary embolism - hip and knee replacement discharges,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using unlinked data)"
POSTDVSP_T_TOTAL_15_CRUDE_DIS_SURG,Post-operative deep vein thrombosis - hip and knee replacement discharges,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using unlinked data)"
POSTSESP_T_TOTAL_15_CRUDE_DIS_SURG,Post-operative sepsis - abdominal discharges,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using unlinked data)"
FORBPROC_T_TOTAL_15_CRUDE_DIS_ALL,Retained surgical item or unretrieved device fragment,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using linked data)"
POSTPESP_T_TOTAL_15_CRUDE_DIS_ALL,Post-operative pulmonary embolism - hip and knee replacement discharges,"Total, 15 years old and over, Crude rate per 100 000 hospital discharges (using linked data)"
